com.mayer.Playground -- Example log from Playground
com.mayer.NarcotrackStatistics -- No data received since 1min
com.mayer.NarcotrackStatistics -- No data received since 2min
com.mayer.NarcotrackStatistics -- No data received since 3min
com.mayer.NarcotrackStatistics -- No data received since 4min
com.mayer.NarcotrackStatistics -- No data received since 5min
com.mayer.NarcotrackStatistics -- No data received since 6min
com.mayer.NarcotrackStatistics -- No data received since 7min
com.mayer.NarcotrackStatistics -- No data received since 8min
com.mayer.NarcotrackStatistics -- No data received since 9min
com.mayer.NarcotrackStatistics -- No data received since 10min
com.mayer.NarcotrackStatistics -- No data received since 11min
com.mayer.NarcotrackStatistics -- No data received since 12min
